timestamp,test-class,test-method,time,description,result
2021-06-09 10:05:36.257,acme.testing.controlCheck.AnonymousShoutCreateTest,createPositive,11773,"[1] id=0, version=0, author=First Creator, text=Texto con EUR sin enlace con important true, info=null, somp_code1=sam, somp_code2=98, somp_deadline=2021/08/15 19:39, somp_budget=EUR 300.98, somp_important=true",OK
2021-06-09 10:05:44.529,acme.testing.controlCheck.AnonymousShoutCreateTest,createPositive,7803,"[2] id=0, version=0, author=Second Creator, text=Texto con USD con enlace con important false, info=https://ev.us.es/, somp_code1=sen, somp_code2=99, somp_deadline=2021/09/15 19:39, somp_budget=USD 1,200.98, somp_important=false",OK
2021-06-09 10:05:47.451,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegative,2427,"[1] id=0, version=0, author=null, text=null, info=not allowed format, somp_code=null, somp_deadline=null, somp_budget=null, somp_important=false",OK
2021-06-09 10:05:50.349,acme.testing.controlCheck.AnonymousShoutCreateTest,createNegative,2486,"[2] id=1, version=0, author=1NC*MFN7&Hd1&jILGyHQcu^Wzs, text=sex sex sex, info=not allowed format, somp_code=04-06-20217aa, somp_deadline=2021/06/09 10:30, somp_budget=GBP 200, somp_important=false",OK
2021-06-09 10:06:09.688,acme.testing.controlCheck.AnonymousShoutListTest,listRecentShoutsByMoment,4905,"[1] id=0, version=0, moment=2021/06/04 01:23, author=Rafael Nadal, text=Sorteo de dos entradas para Mutua Madrid Open, info=null, somp_code=sh5-210604-s5, somp_deadline=2021/06/13 01:23, somp_budget=EUR 300.98, somp_important=true",OK
2021-06-09 10:06:14.852,acme.testing.controlCheck.AnonymousShoutListTest,listRecentShoutsByMoment,4717,"[2] id=1, version=0, moment=2021/06/04 00:39, author=Jaime Benjumea, text=Notas provisionales publicadas, info=https://ev.us.es/, somp_code=sh4-210604-s4, somp_deadline=2021/06/20 00:39, somp_budget=EUR 200.98, somp_important=true",OK
2021-06-09 10:06:20.075,acme.testing.controlCheck.AnonymousShoutListTest,listRecentShoutsByMoment,4658,"[3] id=2, version=0, moment=2021/06/03 19:41, author=Patricia Jimenez, text=Announcing next monday follow up, info=null, somp_code=sh3-210603-s3, somp_deadline=2021/07/03 19:41, somp_budget=USD 700.98, somp_important=false",OK
2021-06-09 10:06:24.826,acme.testing.controlCheck.AnonymousShoutListTest,listRecentShoutsByMoment,4304,"[4] id=3, version=0, moment=2021/06/03 19:41, author=Javier Cortés, text=Dudas sobre exámenes, info=https://www.stackoverflow.com/, somp_code=sh6-210603-s6, somp_deadline=2021/06/11 19:41, somp_budget=USD 0.00, somp_important=false",OK
2021-06-09 10:06:29.658,acme.testing.controlCheck.AnonymousShoutListTest,listRecentShoutsByMoment,4381,"[5] id=4, version=0, moment=2021/06/02 19:40, author=Rafael Corchuelo, text=Good luck!, info=null, somp_code=sh2-210602-s2, somp_deadline=2021/06/09 19:40, somp_budget=EUR 500.98, somp_important=true",OK
2021-06-09 10:06:34.869,acme.testing.controlCheck.AnonymousShoutListTest,listRecentShoutsByMoment,4763,"[6] id=5, version=0, moment=2021/06/02 19:39, author=Alvaro Cortés, text=Control check is coming, info=null, somp_code=sh7-210602-s7, somp_deadline=2021/06/10 19:39, somp_budget=EUR 430.98, somp_important=true",OK
2021-06-09 10:06:39.228,acme.testing.controlCheck.AnonymousShoutListTest,listRecentShoutsByMoment,3837,"[7] id=6, version=0, moment=2021/06/01 19:40, author=Antonio Rojas, text=Probando funcionalidades, info=https://www.example.com, somp_code=sh8-210601-s8, somp_deadline=2021/06/09 19:40, somp_budget=EUR 1,500.98, somp_important=true",OK
2021-06-09 10:06:43.477,acme.testing.controlCheck.AnonymousShoutListTest,listRecentShoutsByMoment,3808,"[8] id=7, version=0, moment=2021/06/01 19:39, author=Alvaro Cortés, text=Using new info sheet property with EUR, info=null, somp_code=sh1-210601-s1, somp_deadline=2021/06/08 19:39, somp_budget=EUR 100.98, somp_important=true",OK
2021-06-09 10:07:03.205,acme.testing.controlCheck.DashboardShowTest,showPositive,7096,"showPositive()",OK
2021-06-09 10:07:04.476,acme.testing.controlCheck.DashboardShowTest,showNegative,857,"showNegative()",OK
